Helmert parameters
------------------------
Tx:           -0.0781190 meter
Ty:            0.1060542 meter
Tz:            0.0000433 meter
Rx:    0.000000007647708 rad     0.001577453 arcsec
Ry:    0.000000021016782 rad     0.004335023 arcsec
Rz:   -0.000000005142342 rad    -0.001060684 arcsec
S.:    1.000000002666990          0.002666992 ppm
RMS:            0.004190 meter

------------------------------------
               X(mm)   Y(mm)   Z(mm)
------------------------------------
St.dev:         3.68    1.71    5.88
Max.:           8.25    4.27   18.81
Min.:         -11.44   -4.24  -16.15
Mean:          -0.68   -0.09   -1.17
RMS:            3.73    1.71    5.98

       From points                                  To points                                    Residuals
----------------------------------------------------------------------------------------------------------------------------
Name              X              Y              Z              X              Y              Z        vX        vY        vZ
HELC   2977963.3806    353232.1151   5610785.3686   2977963.4279    353232.1648   5610785.3121   -0.0023    0.0010   -0.0117
HEMC   2838350.5269    453607.4999   5674729.9434   2838350.5787    453607.5502   5674729.9009    0.0008    0.0010   -0.0015
HFS4   3132540.9059    566402.0229   5508613.1238   3132540.9509    566402.0689   5508613.0790   -0.0039   -0.0033    0.0020
HFSS   3132537.5553    566401.7746   5508615.0601   3132537.5989    566401.8218   5508615.0126   -0.0053   -0.0022   -0.0007
HITA   2808648.4705    443561.9283   5690175.5131   2808648.5229    443561.9785   5690175.4705    0.0012    0.0009   -0.0022
HOLC   2779581.2189    549368.5523   5695298.7101   2779581.2744    549368.6025   5695298.6750    0.0037    0.0005    0.0039
HONS   1874722.5776    912942.9396   6007499.6099   1874722.6378    912942.9906   6007499.6103    0.0024   -0.0018    0.0168
HUSC   2884086.0650    361222.6006   5658395.5348   2884086.1176    361222.6509   5658395.4905    0.0023    0.0014   -0.0016
IBEC   2212201.5910    683801.9605   5923151.1655   2212201.6483    683802.0109   5923151.1334    0.0016   -0.0008   -0.0066
INNC   2927523.9173    387862.0592   5634412.9902   2927523.9655    387862.1091   5634412.9372   -0.0019    0.0010   -0.0095
JOSC   3011310.7361    384494.8447   5590963.1947   3011310.7825    384494.8950   5590963.1404   -0.0030    0.0015   -0.0089
KARC   2024377.5789    966398.6508   5950817.0825   2024377.6370    966398.7075   5950817.0646    0.0008    0.0040    0.0013
KAUS   2107889.4551    895603.1530   5933242.3703   2107889.5092    895603.2066   5933242.3418   -0.0028    0.0014   -0.0069
KIRC   1918647.6848   1109576.3550   5960654.8049   1918647.7424   1109576.4110   5960654.7873   -0.0004    0.0025   -0.0017
KJOC   2289009.7352    673144.0080   5895302.2252   2289009.7876    673144.0604   5895302.1915   -0.0029    0.0014   -0.0065
KOBC   2346368.8826    667943.8187   5873445.5131   2346368.9339    667943.8699   5873445.4742   -0.0037    0.0004   -0.0104
KONC   3109288.3769    660887.7514   5511264.5583   3109288.4189    660887.7974   5511264.5117   -0.0073   -0.0036   -0.0010
KOPC   2987961.1308    583114.7420   5586362.2996   2987961.1777    583114.7899   5586362.2524   -0.0034   -0.0017   -0.0038
KOPD   3199333.5365    585705.3557   5468271.6997   3199333.5791    585705.4041   5468271.6483   -0.0057   -0.0010   -0.0033
KROD   3135162.3223    531458.6271   5510612.8409   3135162.3670    531458.6761   5510612.7930   -0.0041   -0.0002   -0.0009
KRSS   3348186.0735    465040.8072   5390738.1449   3348186.1243    465040.8569   5390738.0981    0.0043    0.0009    0.0056
KRSU   2865839.6793    389046.0878   5665768.6818   2865839.7369    389046.1376   5665768.6418    0.0070    0.0007    0.0021
KVAC   2054886.7598    832604.8828   5960372.2094   2054886.8192    832604.9352   5960372.1846    0.0026    0.0003   -0.0039
KVIC   2899384.7140    528184.2590   5638150.4056   2899384.7638    528184.3090   5638150.3611   -0.0010    0.0005   -0.0027
KYRC   3067893.9685    317075.1940   5564217.0325   3067894.0173    317075.2438   5564216.9796    0.0002    0.0012   -0.0057
LAKC   1978683.8703    920836.3497   5973083.0905   1978683.9274    920836.4045   5973083.0707   -0.0003    0.0021   -0.0013
LAUC   2703516.1156    520487.6874   5734119.0349   2703516.1682    520487.7363   5734118.9935    0.0003   -0.0008   -0.0039
LEKC   2313985.7930    560307.0621   5897338.0814   2313985.8463    560307.1134   5897338.0505   -0.0016    0.0007   -0.0023
LEKS   2787613.8698    523065.0483   5693742.1933   2787613.9227    523065.0977   5693742.1532    0.0012   -0.0002   -0.0007
LIEC   2685718.1326    652295.2483   5729796.1895   2685718.1865    652295.2974   5729796.1578    0.0011   -0.0011    0.0045
LILC   3035802.4942    559312.7508   5562956.4552   3035802.5390    559312.7995   5562956.4067   -0.0050   -0.0008   -0.0039
LINC   3113386.5261    281350.7518   5541022.3329   3113386.5763    281350.8009   5541022.2839    0.0021    0.0007   -0.0005
LODC   2262517.8399    648164.3015   5908272.3980   2262517.8933    648164.3543   5908272.3680   -0.0020    0.0018   -0.0033
